# Before ledger L201: every public foreign-key edge from a table with NO tenant column and row
# security OFF into an RLS-protected parent, read from the catalog of the from-blank install
# (../2026-09-24-update-boundary/) before the amendment. 73 edges, 67 child tables.
# Columns: child | fk -> parent key | parent's tenant column (or child-of-child) | fk nullable

activity_reactions | activity_id | activity_feed | activity_id | organization_id | nullable=false
agency_validation_results | session_id | multi_agency_validation_sessions | session_id | organization_id | nullable=false
ai_claim_citations | retrieval_chunk_id | ai_retrieval_chunks | id | (child-of-child) | nullable=false
ai_claims | generation_run_id | ai_generation_runs | id | (child-of-child) | nullable=false
ai_ml_modifications | plan_id | ai_ml_pccp_plans | id | organization_id | nullable=false
c2c_ana_conversation_turns | conversation_id | c2c_ana_conversations | id | org_id | nullable=false
c2c_document_section_evidence | section_id | c2c_document_sections | id | (child-of-child) | nullable=false
c2c_document_section_versions | ana_action_id | c2c_ana_actions | id | org_id | nullable=true
c2c_document_section_versions | section_id | c2c_document_sections | id | (child-of-child) | nullable=false
c2c_milestone_sections | milestone_db_id | c2c_milestones | id | org_id | nullable=false
c2c_milestone_sections | section_db_id | c2c_package_sections | id | org_id | nullable=false
c2c_secure_attachments | correspondence_id | c2c_correspondence | id | organization_id | nullable=false
cer_clinical_evidence | cer_report_id | cer_reports | id | organization_id | nullable=false
cer_compliance_checks | report_id | cer_reports | report_id | organization_id | nullable=false
cer_essential_requirements | cer_report_id | cer_reports | id | organization_id | nullable=false
cer_faers_data | report_id | cer_reports | report_id | organization_id | nullable=false
cer_literature | report_id | cer_reports | report_id | organization_id | nullable=false
cer_sections | report_id | cer_reports | report_id | organization_id | nullable=false
cer_version_history | cer_report_id | cer_reports | id | organization_id | nullable=false
cer_workflows | report_id | cer_reports | report_id | organization_id | nullable=false
charter_sections | charter_id | project_charters | id | organization_id | nullable=false
cognitive_hitl_breakpoints | thread_id | cognitive_agent_threads | id | tenant_id | nullable=false
cognitive_reasoning_traces | thread_id | cognitive_agent_threads | id | tenant_id | nullable=false
cognitive_thread_messages | thread_id | cognitive_agent_threads | id | tenant_id | nullable=false
cognitive_workflow_checkpoints | thread_id | cognitive_agent_threads | id | tenant_id | nullable=false
context_members | context_group_id | context_groups | id | organization_id | nullable=true
dlt_events | study_id | dose_escalation_studies | id | organization_id | nullable=false
document_attachments | document_id | unified_documents | id | organization_id | nullable=false
document_audit_logs | document_id | unified_documents | id | organization_id | nullable=false
document_comments | document_id | documents | id | organization_id | nullable=false
document_comments | version_id | document_versions | id | (child-of-child) | nullable=true
document_locks | document_id | documents | id | organization_id | nullable=false
doe_analysis_results | study_id | doe_studies | id | organization_id | nullable=false
doe_experiments | study_id | doe_studies | id | organization_id | nullable=false
doe_factors | study_id | doe_studies | id | organization_id | nullable=false
doe_responses | study_id | doe_studies | id | organization_id | nullable=false
dose_cohorts | study_id | dose_escalation_studies | id | organization_id | nullable=false
dose_levels | study_id | dose_escalation_studies | id | organization_id | nullable=false
ind_narrative_sections | narrative_id | ind_narratives | id | organization_id | nullable=false
ind_package_plan_documents | document_id | documents | id | organization_id | nullable=true
ind_package_plan_documents | plan_id | ind_package_plans | id | organization_id | nullable=false
ind_package_plan_modalities | plan_id | ind_package_plans | id | organization_id | nullable=false
ind_package_plan_regions | plan_id | ind_package_plans | id | organization_id | nullable=false
ind_package_plan_requirements | plan_id | ind_package_plans | id | organization_id | nullable=false
ind_package_plan_timelines | plan_id | ind_package_plans | id | organization_id | nullable=false
leaf_citations | leaf_id | leaves | leaf_id | organization_id | nullable=false
leaf_patches | leaf_id | leaves | leaf_id | organization_id | nullable=false
lumen_collection_atoms | atom_id | lumen_data_atoms | id | organization_id | nullable=false
lumen_collection_atoms | collection_id | lumen_atom_collections | id | organization_id | nullable=false
obligation_updates | obligation_id | regulatory_obligations | id | organization_id | nullable=false
pdev_program_activities | program_id | regulatory_programs | id | organization_id | nullable=false
pdev_readiness_snapshots | program_id | regulatory_programs | id | organization_id | nullable=false
pkpd_compartments | analysis_id | cross_species_pkpd | id | organization_id | nullable=false
project_predictions | project_id | projects | id | organization_id | nullable=true
report_details | report_id | reports | id | organization_id | nullable=false
report_program_group_projects | program_group_id | report_program_groups | id | organization_id | nullable=false
report_program_group_projects | project_id | projects | id | organization_id | nullable=false
resolution_bundle_items | bundle_id | resolution_bundles | id | organization_id | nullable=false
risk_detections | project_id | projects | id | organization_id | nullable=true
section_patches | section_id | sections | section_id | organization_id | nullable=false
sharepoint_comments | file_id | sharepoint_files | id | organization_id | nullable=false
sharepoint_file_versions | file_id | sharepoint_files | id | organization_id | nullable=false
sharepoint_locks | file_id | sharepoint_files | id | organization_id | nullable=false
sharepoint_shares | file_id | sharepoint_files | id | organization_id | nullable=false
simple_document_versions | document_id | simple_documents | id | organization_id | nullable=false
species_comparisons | analysis_id | cross_species_pkpd | id | organization_id | nullable=false
timeline_phases | charter_id | project_charters | id | organization_id | nullable=false
validation_findings | leaf_id | leaves | leaf_id | organization_id | nullable=true
validation_harmonization_opportunities | session_id | multi_agency_validation_sessions | session_id | organization_id | nullable=false
validation_issues | session_id | multi_agency_validation_sessions | session_id | organization_id | nullable=false
workflow_approvals | workflow_id | document_workflows | id | organization_id | nullable=false
workflow_history | workflow_id | document_workflows | id | organization_id | nullable=false
workflow_steps | template_id | workflow_templates | id | organization_id | nullable=false
