ESLint, HEAD 2211cfa1 vs working tree (npx eslint <file>; git show HEAD:<file> | npx eslint --stdin --stdin-filename <file>)
server/services/session-inactivity.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/routes/setup.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/mcp/auth/platform-token.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/mcp/auth/provider.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/mcp/auth/store.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/auth.ts | HEAD: 1 problem (0 errors, 1 warning) | now: 1 problem (0 errors, 1 warning)
server/routes/authEnterprise.ts | HEAD: 10 problems (0 errors, 10 warnings) | now: 10 problems (0 errors, 10 warnings)
server/mcp/__tests__/mcp-connector.dbtest.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/routes/__tests__/session-open-contract.test.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/routes/__tests__/setup.test.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/services/__tests__/session-inactivity.test.ts | HEAD: 0 problems (0 errors, 0 warnings) | now: 0 problems (0 errors, 0 warnings)
server/mcp/__tests__/platform-token-session.test.ts | new file | now: 0 problems (0 errors, 0 warnings)
server/routes/__tests__/authEnterprise-verify-mfa-factor-order.test.ts | new file | now: 0 problems (0 errors, 0 warnings)
