             relname             | relrowsecurity 
---------------------------------+----------------
 access_controls                 | t
 active_learning_queue           | t
 anchors                         | t
 arms                            | t
 assay_results                   | t
 assays                          | t
 audit_events                    | t
 audit_logs                      | t
 audit_trail                     | t
 auto_generated_tables           | t
 auto_trace_links                | t
 batch_records                   | t
 calibration_log                 | t
 candidates                      | t
 causal_discovery_runs           | t
 causal_effects                  | t
 causal_graphs                   | t
 change_control                  | t
 change_propagation_events       | t
 claims                          | t
 cmc_sections                    | t
 compliance_rules                | t
 compliance_scores               | t
 concept2cure_artifact_versions  | t
 concept2cure_artifacts          | t
 concept2cure_conversations      | t
 concept2cure_messages           | t
 concept2cure_signatures         | t
 confidence_history              | t
 confidence_triggers             | t
 context_of_use_elements         | t
 contradiction_scans             | t
 cou_relationships               | t
 counterfactual_scenarios        | t
 cross_references                | t
 data_integrity_checks           | t
 data_residency                  | t
 defense_previews                | t
 delta_findings                  | t
 delta_radar_scans               | t
 derivations                     | t
 distilled_insights              | t
 document_chunks                 | t
 document_embeddings             | t
 documents                       | t
 documents                       | t
 domain_knowledge                | t
 domain_similarity_cache         | t
 drift_detection                 | t
 electronic_signatures           | t
 enrollment_predictions          | t
 evidence_citations              | t
 evidence_confidence_assessments | t
 evidence_gaps                   | t
 evidence_scoring_configs        | t
 evolution_ledger                | t
 expertise_scores                | t
 federated_learning_state        | t
 guardrail_api_audit             | t
 guardrail_findings              | t
 guardrail_profiles              | t
 guardrail_rules                 | t
 guardrail_validation_runs       | t
 guidance_documents              | t
 hash_ledger                     | t
 impact_simulations              | t
 impacted_sections               | t
 interventions                   | t
 intuition_predictions           | t
 keyword_definitions             | t
 knowledge_gaps                  | t
 label_changes                   | t
 learning_experiences            | t
 learning_templates              | t
 mechanism_library               | t
 meta_transfer_model             | t
 negotiation_entries             | t
 negotiation_positions           | t
 negotiation_threads             | t
 outcomes                        | t
 pm_settings                     | t
 product_substances              | t
 product_variants                | t
 products                        | t
 prompt_evolution                | t
 proof_audit_logs                | t
 provenance                      | t
 rag_conversations               | t
 rag_messages                    | t
 readiness_criteria              | t
 readiness_criterion_evaluations | t
 readiness_trends                | t
 readiness_twin_assessments      | t
 reconciliation_findings         | t
 regulatory_references           | t
 regulatory_signals              | t
 regulatory_submissions          | t
 rejection_patterns              | t
 renders                         | t
 resource_history                | t
 resources                       | t
 results                         | t
 review_batch_docs               | t
 review_batch_inputs             | t
 review_batches                  | t
 rps_events                      | t
 se_matrix_rows                  | t
 search_queries                  | t
 signature_manifests             | t
 signatures                      | t
 signing_requests                | t
 site_metrics                    | t
 site_risks                      | t
 sites                           | t
 soft_signals                    | t
 source_documents                | t
 sources                         | t
 spl_documents                   | t
 spl_sections                    | t
 stability_observations          | t
 stability_studies               | t
 step_run_events                 | t
 step_runs                       | t
 submission_outcomes             | t
 submission_units                | t
 support                         | t
 targets                         | t
 template_usage                  | t
 templates                       | t
 timeline_predictions            | t
 traceability_links              | t
 traceability_matrix_snapshots   | t
 transfer_episodes               | t
 transfer_mappings               | t
 transfer_templates              | t
 trials                          | t
 udi_identifiers                 | t
 uncertainty_estimates           | t
 user_program_access             | t
 user_workspace_preferences      | t
 users                           | t
 uuid_edges                      | t
 uuid_lifecycle                  | t
 validation_records              | t
 workflow_runs                   | t
 workspace_analytics             | t
 workspace_presets               | t
 workspace_roles                 | t
(148 rows)

